label,address,name_tag
ICO Wallets,0xb62ef4c58f3997424b0cceab28811633201706bc,Tezos: MultiSig
ICO Wallets,0x49db6ee4507132d1fdac92318e0e6150bf786728,TheAbyss: MultiSig
ICO Wallets,0x0c4b367e876d18d5c102023d9240dd7e9c11b380,Tierion: Wallet 1
ICO Wallets,0xad54edbe26782a7c190eabc0b35869b0e66ffcce,Tierion: Wallet 2
ICO Wallets,0xad8ea3b0215e6efd9d2f2aa22baf6d494dbf7662,Tokenbox: MultiSig
ICO Wallets,0x274df34325ca19627e5e587c48b7e77dfc4b9cc6,Tokia: Wallet
ICO Wallets,0x146f2fba9eba1b72d5162a56e3e5da6c0f4808cc,Traceto.io: MultiSig
ICO Wallets,0x58f75ddacffb183a30f69fe58a67a0d0985fce0f,Trade.io: Wallet 1
ICO Wallets,0x5a2fad810f990c4535ada938400b6b67ef7646af,Trade.io: Wallet 2
ICO Wallets,0x8dcaeebf49a479ed5e5b3b45a38c9125a0ef6d23,Traderly: Wallet
ICO Wallets,0xb4e23d717ed13345498f100c9eacbb256916ae1a,Uppsala: MultiSig
ICO Wallets,0xb4e817449b2fcdec82e69f02454b42fe95d4d1fd,Verify.as: Wallet
ICO Wallets,0xc2cce1f4190d4451c63cf591678c807679c3d728,WeTrust: MultiSig
ICO Wallets,0x749bd34c771456a8de28aa0883b00d11273e2ede,XferMoney: Wallet
ICO Wallets,0xd75496c0a6a36308cfda58e317ab97ea46b8f6b5,Zebi: Wallet 1
ICO Wallets,0x11e63fa9256c37d100b6786569663b116480f92a,Zebi: Wallet 2
MyEtherWallet,0x01234567bac6ff94d7e4f0ee23119cf848f93245,MyEtherWallet: ETHB Token
ICO Wallets,0x606af0bd4501855914b50e2672c5926b896737ef,0x: MultiSig
Wallet App,0x6b59210ade46b62b25e82e95ab390a7ccadd4c3a,Bitberry
Wallet App,0xa9c7d31bb1879bff8be25ead2f59b310a52b7c5a,Cobo
Wallet App,0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,Cryptonator
Wallet App,0x7ed1e469fcb3ee19c0366d829e291451be638e59,Freewallet
Wallet App,0x28c9386ebab8d52ead4a327e6423316435b2d4fc,RenrenBit
Wallet App,0x46c635b772115ad2c3df7abe0d35eb908abad4b8,Streamity: STM Wallet App
Wallet App,0x6e8d7d12c3f0a9285981b8998ce7cf0cf0bce78e,ZixiPay
ICO Wallets,0x01d9f4d104668cdc0b6d13c45dff5e15d58d8f28,0x: MultiSig 2
ICO Wallets,0x15c19e6c203e2c34d1edfb26626bfc4f65ef96f0,Aeternity: Wallet
ICO Wallets,0xfba4d50cab44f13102c0e270721e1cbefebd8922,Airbloc: Wallet 1
ICO Wallets,0x7d5d58560819c172e45b46c0965bbda5a8895f80,Airbloc: Wallet 2
ICO Wallets,0xebbd58cd1c31c08ef7a17337c264ba502762e993,AirSwap: MultiSig
ICO Wallets,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4,Alphabitco: Wallet
ICO Wallets,0x9e1836e45e88c92926105910d4a5988a1f677181,AppCoins: MultiSig 1
ICO Wallets,0x71e7c73375efbefdf7b4be67e768d9038dde2488,AppCoins: MultiSig 2
ICO Wallets,0xcafe1a77e84698c83ca8931f54a755176ef75f2c,Aragon: MultiSig
ICO Wallets,0x8d9d0bd75319a3780d3cab012759efbae334291b,Arcade City: MultiSig
ICO Wallets,0x126d407584cf73ba5d15102bab0e578a64cca3f1,Atlant: Wallet 1
ICO Wallets,0x36e6dadc5a045a86dbc9ecfeda5c459784d3537f,Atlant: Wallet 2
ICO Wallets,0x7bb187351421c3affda57c7a5132e304f73167c8,Atonomi: MultiSig
ICO Wallets,0xe28e72fcf78647adce1f1252f240bbfaebd63bcc,Augur: Token Sale
ICO Wallets,0xa04fc9bd2be8bcc6875d9ebb964e8f858bcc1b4f,Augur: Wallet
ICO Wallets,0xb3ee3fb3f8c856adf9ce64ad691469ba533f5a37,AVA Labs: Wallet
ICO Wallets,0x035a401972f228b58dcae76bf318b54ed036d680,Aventus: MultiSig
ICO Wallets,0x5894110995b8c8401bd38262ba0c8ee41d4e4658,Bancor: MultiSig 1
ICO Wallets,0x67e4bbe50fbc74633dfd9f7683465c02af896541,Bancor: MultiSig 2
ICO Wallets,0xcc1aac4513f751effc94e259daf8a37b76f9db75,Bancor: MultiSig 3
ICO Wallets,0x4f8af8e8734d02a21d73e2a4fb29941f35cbbeac,Bancor: MultiSig 4
ICO Wallets,0xc39e562defc6ddd1f44ee698cf9303092b86051d,Bancor: MultiSig 5
ICO Wallets,0x44fcfabfbe32024a01b778c025d70498382cced0,BAT: Wallet
ICO Wallets,0x7c4b4bb0bb0fadbcb1c54ed55a3b4f1d456726c6,Bee Token: MultiSig
ICO Wallets,0xe9203c8c8eeaeffefecffad6d883c3ea205a832b,BitJob: MultiSig
ICO Wallets,0x537397e3a68584e05e332d2ba75340e37012f50a,BitJob: Wallet
ICO Wallets,0x9d217bcbd0bfae4d7f8f12c7702108d162e3ab79,Bloom: MultiSig
ICO Wallets,0x081edbef6106ab1253557451b261c1c99bade726,Bread: Wallet
ICO Wallets,0xa723606e907bf84215d5785ea7f6cd93a0fbd121,ChronoLogic: MultiSig
ICO Wallets,0x45fde77ff768aa83df468fb1c6ebc5f2bb21dcea,Cindicator: MultiSig
