address,label,name_tag
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,exchange,Bittrex 2
0x66f820a414680b5bcda5eeca5dea238543f42054,exchange,Bittrex 3
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,exchange,BitUN.io 1
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,exchange,BitUN.io 2
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,exchange,Bity.com
0x00cdc153aa8894d08207719fe921fff964f28ba3,exchange,Bitzlato
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,exchange,Blockfolio
0x007174732705604bbbf77038332dc52fd5a5000c,exchange,BlockTrades Exchange
0xdf8752caa319668006580ddf48db25a23728b926,exchange,Bololex.com
0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,exchange,BTC-Alpha Exchange
0x73957709695e73fd175582105c44743cf0fb6f2f,exchange,Bw.com
0xd7c866d0d536937bf9123e02f7c052446588189f,exchange,C2CX: Hot Wallet
0x88988d6ef12d7084e34814b9edafa01ae0d05082,exchange,CamboChanger 2
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,exchange,Cashierest
0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,exchange,Catex Exchange
0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,exchange,ChainX
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,exchange,Changelly
0x8958618332df62af93053cb9c535e26462c959b0,exchange,Cobinhood 1
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,exchange,Cobinhood 2
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,exchange,Coinbase 1
0x503828976d22510aad0201ac7ec88293211d23da,exchange,Coinbase 2
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,exchange,Coinbase 3
0x3cd751e6b0078be393132286c442345e5dc49699,exchange,Coinbase 4
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,exchange,Coinbase 5
0xeb2629a2734e272bcc07bda959863f316f4bd4cf,exchange,Coinbase 6
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,exchange,Coinbene
0x33683b94334eebc9bd3ea85ddbda4a86fb461405,exchange,Coinbene: Cold Wallet
0xb6ba1931e4e74fd080587688f6db10e830f810d5,exchange,Coindelta
0xbf1a97d8d4229d61b031214d5bbe9a5cb1e737f9,exchange,CoinDhan
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,exchange,Coinex
0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,exchange,Coinex 2
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,exchange,CoinExchange.io
0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,exchange,Coinhako
0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,exchange,Coinhako: Warm Wallet
0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,exchange,CoinMetro Exchange
0x167a9333bf582556f35bd4d16a7e80e191aa6476,exchange,Coinone
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,exchange,Coinone 2
0xd0808da05cc71a9f308d330bc9c5c81bbc26fc59,exchange,Coinswitch
0x8705ccfd8a6df3785217c307cbebf9b793310b94,exchange,CoinW
0xcb243bf48fb443082fae7db47ec96cb120cd6801,exchange,CoinW 2
0x429bf8ec3330e02401d72beade86000d9a2e19eb,exchange,CoinW 3
0x6f31d347457962c9811ff953742870ef5a755de3,exchange,CoinW 4
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,exchange,COSS.io 1
0xd1560b3984b7481cd9a8f40435a53c860187174d,exchange,COSS.io: Old Warm Wallet
0x43f07efe28e092a0fe4ec5b5662022b461ffac80,exchange,COSS.io: Warm Wallet
0x521db06bf657ed1d6c98553a70319a8ddbac75a3,exchange,CREX24
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,exchange,Crypto.com
0x46340b20830761efd32832a74d7169b29feb9758,exchange,Crypto.com 2
0x5baeac0a0417a05733884852aa068b706967e790,exchange,Cryptopia 1
0x2984581ece53a4390d1f568673cf693139c97049,exchange,Cryptopia 2
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,exchange,DigiFinex
0x2101e480e22c953b37b9d0fe6551c1354fe705e6,exchange,DMEX
0xf1c525a488a848b58b95d79da48c21ce434290f7,exchange,Eidoo
0x608f94df1c1d89ea13e5984d7bf107df137a6541,exchange,Eigen Fx
0xeb9ebf2c624ebee42e0853da6443ddc6c8020de7,exchange,Eigen Fx 2
0x8d76166c22658a144c0211d87abf152e6a2d9d95,exchange,Eterbase
0xd3808c5d48903be1490989f3fce2a2b3890e8eb6,exchange,Exchange A
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,exchange,Exmo 1
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,exchange,Exmo 2
