,address,name_tag,label
124,0xb986f3a2d91d3704dc974a24fb735dcc5e3c1e70,dForce EUR (EUX),"TokenTracker,DeFi"
125,0x49a39e062aaf28950f9d0d5fd423dfb3175c0bb1,ZENTEREST Alpha Finance (zenALPHA),"TokenTracker,DeFi"
126,0xa31fdbaa772745d11843efeda9922dcbf5460672,Lift.Kitchen Control DAO (CTRL),"TokenTracker,DeFi"
127,0xF047d4bE569FB770dB143A6A90Ef203FC1295922,Cream tBTC (crTBTC),"TokenTracker,DeFi"
128,0x0c334506E0bcb7C17b583CB7c0ec2F5857BF9e6F,Public Goods (PUBG),"TokenTracker,DeFi"
129,0xa8e31ad81d609ff616645849987fef30a3ffabd9,ZENTEREST FRAX (zenFRAX),"TokenTracker,DeFi"
130,0x92b767185fb3b04f881e3ac8e5b0662a027a1d9f,Cream Dai Stablecoin (crDAI),"TokenTracker,DeFi"
131,0x7f3edcdd180dbe4819bd98fee8929b5cedb3adeb,xToken (XTK),"TokenTracker,DeFi"
132,0x3541a5c1b04adaba0b83f161747815cd7b1516bc,CitaDAO (KNIGHT),"TokenTracker,DeFi"
133,0x310052769DE50103600981A02bba373f0e812a0d,Defi DigitalNote (2XDN),"TokenTracker,DeFi"
134,0xbaA70614C7AAfB568a93E62a98D55696bcc85DFE,UniCap.finance (UCAP),"TokenTracker,DeFi"
135,0x7a2Bc711E19ba6aff6cE8246C546E8c4B4944DFD,WAX Economic Token (WAXE),"TokenTracker,DeFi"
136,0xa991356d261fbaf194463af6df8f0464f8f1c742,TrueFi USD Coin (tfUSDC),"TokenTracker,DeFi"
137,0x3db382535D9eE7C401B415745F4784644E076664,Voting International Blockchain Pla... (VTNG),"TokenTracker,DeFi"
138,0x126c121f99e1e211df2e5f8de2d96fa36647c855,DEGEN Index (DEGEN),"TokenTracker,DeFi"
139,0x80aF88983BEb964F1a73D437e52bAE1FeB97d791,MOOREX (MOOR),"TokenTracker,DeFi"
140,0xaefad686f4b894ce4f9c74af755ab4651e420eba,Krisper (KRP),"TokenTracker,DeFi"
141,0x1fcdce58959f536621d76f5b7ffb955baa5a672f,The Force Token (FOR),"TokenTracker,DeFi"
142,0xAD43BbDe9b4E1A2894984A55a2f490c4ADc1773b,yfMeta Finance (yfMeta),"TokenTracker,DeFi"
143,0x592f77f18893c8657cbf7cfc93e3f7cf7b02662d,Team Clean Seas (TCS),"TokenTracker,DeFi"
144,0x27f7e1193ae6343e1f8701625811db280578939b,Nexabook Coin (NOC),"TokenTracker,DeFi"
145,0xe66b3aa360bb78468c00bebe163630269db3324f,Merchant Token (MTO),"TokenTracker,DeFi"
146,0xa07be94d721df448b63ec6c3160138a2b2619e1d,ZENTEREST Wrapped NXM (zenWNXM),"TokenTracker,DeFi"
147,0xf0042b46d69ad6588c683f7e99e4ccb3f252717a,Scam ALERT: HIGH probability. Audit... (SCAM-HIGH),"TokenTracker,DeFi"
148,0x1f52453b32bfab737247114d56d756a6c37dd9ef,Wrapped Ether (WETH),"TokenTracker,DeFi"
149,0xd532944df6dfd5dd629e8772f03d4fc861873abf,Cream SushiSwap LP Token YFI-ETH (crSLP-YFI-ETH),"TokenTracker,DeFi"
150,0x8f6a193c8b3c949e1046f1547c3a3f0836944e4b,xINCH (xINCHa),"TokenTracker,DeFi"
151,0x9baf8a5236d44ac410c0186fe39178d5aad0bb87,Cream yCRV (crYCRV),"TokenTracker,DeFi"
152,0x7aa46a51f717404d944051af3075bbcb49b2288b,GENEBANK Token (GNBT),"TokenTracker,DeFi"
153,0x4180CE5a616E75512fd9DF0bd896AC955C64a246,Krakin't (KRK),"TokenTracker,DeFi"
154,0x2b2b0559081c41e962777B5049632fdb30f7E652,BitDEFi (BFi),"TokenTracker,DeFi"
155,0x9D83D493688caF9D34f04B3c0d50D197d44aBbCA,Hope Soviet (hSOV),"TokenTracker,DeFi"
156,0x3Ea50B7Ef6a7eaf7E966E2cb72b519C16557497c,Rocket Bunny (BUNNY),"TokenTracker,DeFi"
157,0xd0f05d3d4e4d1243ac826d8c6171180c58eaa9bc,Value Network Token (VNTW),"TokenTracker,DeFi"
